gid,number,side
2011857,First,Home (left)
2011857,Second,Home (left)
2011857,Third,Home (left)
2011857,Fourth,Home (left)
2011857,Fifth,Home (left)
2011857,Sixth,Home (left)
2011857,Seventh,Home (left)
2011857,Eighth,Home (left)
2011857,Ninth,Home (left)
2011857,Tenth,Home (left)
2011857,Eleventh,Home (left)
2011857,First,Away (right)
2011857,Second,Away (right)
2011857,Third,Away (right)
2011857,Fourth,Away (right)
2011857,Fifth,Away (right)
2011857,Sixth,Away (right)
2011857,Seventh,Away (right)
2011857,Eighth,Away (right)
2011857,Ninth,Away (right)
2011857,Tenth,Away (right)
2011857,Eleventh,Away (right)
2011858,First,Home (left)
2011858,Second,Home (left)
2011858,Third,Home (left)
2011858,Fourth,Home (left)
2011858,Fifth,Home (left)
2011858,Sixth,Home (left)
2011858,Seventh,Home (left)
2011858,Eighth,Home (left)
2011858,Ninth,Home (left)
2011858,Tenth,Home (left)
2011858,Eleventh,Home (left)
2011858,First,Away (right)
2011858,Second,Away (right)
2011858,Third,Away (right)
2011858,Fourth,Away (right)
2011858,Fifth,Away (right)
2011858,Sixth,Away (right)
2011858,Seventh,Away (right)
2011858,Eighth,Away (right)
2011858,Ninth,Away (right)
2011858,Tenth,Away (right)
2011858,Eleventh,Away (right)
2011859,First,Home (left)
2011859,Second,Home (left)
2011859,Third,Home (left)
2011859,Fourth,Home (left)
2011859,Fifth,Home (left)
2011859,Sixth,Home (left)
2011859,Seventh,Home (left)
2011859,Eighth,Home (left)
2011859,Ninth,Home (left)
2011859,Tenth,Home (left)
2011859,Eleventh,Home (left)
2011859,First,Away (right)
2011859,Second,Away (right)
2011859,Third,Away (right)
2011859,Fourth,Away (right)
2011859,Fifth,Away (right)
2011859,Sixth,Away (right)
2011859,Seventh,Away (right)
2011859,Eighth,Away (right)
2011859,Ninth,Away (right)
2011859,Tenth,Away (right)
2011859,Eleventh,Away (right)
2011860,First,Home (left)
2011860,Second,Home (left)
2011860,Third,Home (left)
2011860,Fourth,Home (left)
2011860,Fifth,Home (left)
2011860,Sixth,Home (left)
2011860,Seventh,Home (left)
2011860,Eighth,Home (left)
2011860,Ninth,Home (left)
2011860,Tenth,Home (left)
2011860,Eleventh,Home (left)
