gid,number,side
2011769,Eleventh,Away (right)
2011770,First,Home (left)
2011770,Second,Home (left)
2011770,Third,Home (left)
2011770,Fourth,Home (left)
2011770,Fifth,Home (left)
2011770,Sixth,Home (left)
2011770,Seventh,Home (left)
2011770,Eighth,Home (left)
2011770,Ninth,Home (left)
2011770,Tenth,Home (left)
2011770,Eleventh,Home (left)
2011770,First,Away (right)
2011770,Second,Away (right)
2011770,Third,Away (right)
2011770,Fourth,Away (right)
2011770,Fifth,Away (right)
2011770,Sixth,Away (right)
2011770,Seventh,Away (right)
2011770,Eighth,Away (right)
2011770,Ninth,Away (right)
2011770,Tenth,Away (right)
2011770,Eleventh,Away (right)
2011771,First,Home (left)
2011771,Second,Home (left)
2011771,Third,Home (left)
2011771,Fourth,Home (left)
2011771,Fifth,Home (left)
2011771,Sixth,Home (left)
2011771,Seventh,Home (left)
2011771,Eighth,Home (left)
2011771,Ninth,Home (left)
2011771,Tenth,Home (left)
2011771,Eleventh,Home (left)
2011771,First,Away (right)
2011771,Second,Away (right)
2011771,Third,Away (right)
2011771,Fourth,Away (right)
2011771,Fifth,Away (right)
2011771,Sixth,Away (right)
2011771,Seventh,Away (right)
2011771,Eighth,Away (right)
2011771,Ninth,Away (right)
2011771,Tenth,Away (right)
2011771,Eleventh,Away (right)
2011772,First,Home (left)
2011772,Second,Home (left)
2011772,Third,Home (left)
2011772,Fourth,Home (left)
2011772,Fifth,Home (left)
2011772,Sixth,Home (left)
2011772,Seventh,Home (left)
2011772,Eighth,Home (left)
2011772,Ninth,Home (left)
2011772,Tenth,Home (left)
2011772,Eleventh,Home (left)
2011772,First,Away (right)
2011772,Second,Away (right)
2011772,Third,Away (right)
2011772,Fourth,Away (right)
2011772,Fifth,Away (right)
2011772,Sixth,Away (right)
2011772,Seventh,Away (right)
2011772,Eighth,Away (right)
2011772,Ninth,Away (right)
2011772,Tenth,Away (right)
2011772,Eleventh,Away (right)
2011773,First,Home (left)
2011773,Second,Home (left)
2011773,Third,Home (left)
2011773,Fourth,Home (left)
2011773,Fifth,Home (left)
2011773,Sixth,Home (left)
2011773,Seventh,Home (left)
2011773,Eighth,Home (left)
2011773,Ninth,Home (left)
2011773,Tenth,Home (left)
2011773,Eleventh,Home (left)
2011773,First,Away (right)
2011773,Second,Away (right)
2011773,Third,Away (right)
2011773,Fourth,Away (right)
2011773,Fifth,Away (right)
2011773,Sixth,Away (right)
2011773,Seventh,Away (right)
2011773,Eighth,Away (right)
2011773,Ninth,Away (right)
2011773,Tenth,Away (right)
2011773,Eleventh,Away (right)
2011774,First,Home (left)
2011774,Second,Home (left)
2011774,Third,Home (left)
2011774,Fourth,Home (left)
2011774,Fifth,Home (left)
2011774,Sixth,Home (left)
2011774,Seventh,Home (left)
2011774,Eighth,Home (left)
2011774,Ninth,Home (left)
2011774,Tenth,Home (left)
2011774,Eleventh,Home (left)
2011774,First,Away (right)
2011774,Second,Away (right)
2011774,Third,Away (right)
2011774,Fourth,Away (right)
2011774,Fifth,Away (right)
2011774,Sixth,Away (right)
2011774,Seventh,Away (right)
2011774,Eighth,Away (right)
2011774,Ninth,Away (right)
2011774,Tenth,Away (right)
2011774,Eleventh,Away (right)
2011775,First,Home (left)
2011775,Second,Home (left)
2011775,Third,Home (left)
2011775,Fourth,Home (left)
2011775,Fifth,Home (left)
2011775,Sixth,Home (left)
2011775,Seventh,Home (left)
2011775,Eighth,Home (left)
2011775,Ninth,Home (left)
2011775,Tenth,Home (left)
2011775,Eleventh,Home (left)
2011775,First,Away (right)
2011775,Second,Away (right)
2011775,Third,Away (right)
2011775,Fourth,Away (right)
2011775,Fifth,Away (right)
2011775,Sixth,Away (right)
2011775,Seventh,Away (right)
2011775,Eighth,Away (right)
2011775,Ninth,Away (right)
2011775,Tenth,Away (right)
2011775,Eleventh,Away (right)
2011776,First,Home (left)
2011776,Second,Home (left)
2011776,Third,Home (left)
2011776,Fourth,Home (left)
2011776,Fifth,Home (left)
2011776,Sixth,Home (left)
2011776,Seventh,Home (left)
2011776,Eighth,Home (left)
2011776,Ninth,Home (left)
2011776,Tenth,Home (left)
2011776,Eleventh,Home (left)
2011776,First,Away (right)
2011776,Second,Away (right)
2011776,Third,Away (right)
2011776,Fourth,Away (right)
2011776,Fifth,Away (right)
2011776,Sixth,Away (right)
2011776,Seventh,Away (right)
2011776,Eighth,Away (right)
2011776,Ninth,Away (right)
2011776,Tenth,Away (right)
2011776,Eleventh,Away (right)
2011777,First,Home (left)
2011777,Second,Home (left)
2011777,Third,Home (left)
2011777,Fourth,Home (left)
2011777,Fifth,Home (left)
2011777,Sixth,Home (left)
2011777,Seventh,Home (left)
2011777,Eighth,Home (left)
2011777,Ninth,Home (left)
2011777,Tenth,Home (left)
2011777,Eleventh,Home (left)
2011777,First,Away (right)
2011777,Second,Away (right)
2011777,Third,Away (right)
2011777,Fourth,Away (right)
2011777,Fifth,Away (right)
2011777,Sixth,Away (right)
2011777,Seventh,Away (right)
2011777,Eighth,Away (right)
2011777,Ninth,Away (right)
2011777,Tenth,Away (right)
2011777,Eleventh,Away (right)
2011778,First,Home (left)
2011778,Second,Home (left)
2011778,Third,Home (left)
2011778,Fourth,Home (left)
2011778,Fifth,Home (left)
2011778,Sixth,Home (left)
2011778,Seventh,Home (left)
2011778,Eighth,Home (left)
2011778,Ninth,Home (left)
2011778,Tenth,Home (left)
2011778,Eleventh,Home (left)
2011778,First,Away (right)
2011778,Second,Away (right)
2011778,Third,Away (right)
2011778,Fourth,Away (right)
2011778,Fifth,Away (right)
2011778,Sixth,Away (right)
2011778,Seventh,Away (right)
2011778,Eighth,Away (right)
2011778,Ninth,Away (right)
2011778,Tenth,Away (right)
2011778,Eleventh,Away (right)
2011779,First,Home (left)
2011779,Second,Home (left)
2011779,Third,Home (left)
2011779,Fourth,Home (left)
2011779,Fifth,Home (left)
2011779,Sixth,Home (left)
2011779,Seventh,Home (left)
2011779,Eighth,Home (left)
2011779,Ninth,Home (left)
2011779,Tenth,Home (left)
2011779,Eleventh,Home (left)
