gid,number,side
2011781,Eighth,Away (right)
2011781,Tenth,Away (right)
2011739,First,Home (left)
2011739,Second,Home (left)
2011739,Third,Home (left)
2011739,Fourth,Home (left)
2011739,Fifth,Home (left)
2011739,Sixth,Home (left)
2011739,Seventh,Home (left)
2011739,Eighth,Home (left)
2011739,Ninth,Home (left)
2011739,Tenth,Home (left)
2011739,Eleventh,Home (left)
2011739,First,Away (right)
2011739,Second,Away (right)
2011739,Third,Away (right)
2011739,Fourth,Away (right)
2011739,Fifth,Away (right)
2011739,Sixth,Away (right)
2011739,Seventh,Away (right)
2011739,Eighth,Away (right)
2011739,Ninth,Away (right)
2011739,Tenth,Away (right)
2011739,Eleventh,Away (right)
2011740,First,Home (left)
2011740,Second,Home (left)
2011740,Third,Home (left)
2011740,Fourth,Home (left)
2011740,Fifth,Home (left)
2011740,Sixth,Home (left)
2011740,Seventh,Home (left)
2011740,Eighth,Home (left)
2011740,Ninth,Home (left)
2011740,Tenth,Home (left)
2011740,Eleventh,Home (left)
2011740,First,Away (right)
2011740,Second,Away (right)
2011740,Third,Away (right)
2011740,Fourth,Away (right)
2011740,Fifth,Away (right)
2011740,Sixth,Away (right)
2011740,Seventh,Away (right)
2011740,Eighth,Away (right)
2011740,Ninth,Away (right)
2011740,Tenth,Away (right)
2011740,Eleventh,Away (right)
2011741,First,Home (left)
2011741,Second,Home (left)
2011741,Third,Home (left)
2011741,Fourth,Home (left)
2011741,Fifth,Home (left)
2011741,Sixth,Home (left)
2011741,Seventh,Home (left)
2011741,Eighth,Home (left)
2011741,Ninth,Home (left)
2011741,Tenth,Home (left)
2011741,Eleventh,Home (left)
2011741,First,Away (right)
2011741,Second,Away (right)
2011741,Third,Away (right)
2011741,Fourth,Away (right)
2011741,Fifth,Away (right)
2011741,Sixth,Away (right)
2011741,Seventh,Away (right)
2011741,Eighth,Away (right)
2011741,Ninth,Away (right)
2011741,Tenth,Away (right)
2011741,Eleventh,Away (right)
2011742,First,Home (left)
2011742,Second,Home (left)
2011742,Third,Home (left)
2011742,Fourth,Home (left)
2011742,Fifth,Home (left)
2011742,Sixth,Home (left)
2011742,Seventh,Home (left)
2011742,Eighth,Home (left)
2011742,Ninth,Home (left)
2011742,Tenth,Home (left)
2011742,Eleventh,Home (left)
2011742,First,Away (right)
2011742,Second,Away (right)
2011742,Third,Away (right)
2011742,Fourth,Away (right)
2011742,Fifth,Away (right)
2011742,Sixth,Away (right)
2011742,Seventh,Away (right)
2011742,Eighth,Away (right)
2011742,Ninth,Away (right)
2011742,Tenth,Away (right)
2011742,Eleventh,Away (right)
2011743,First,Home (left)
2011743,Second,Home (left)
2011743,Third,Home (left)
2011743,Fourth,Home (left)
2011743,Fifth,Home (left)
2011743,Sixth,Home (left)
2011743,Seventh,Home (left)
2011743,Eighth,Home (left)
2011743,Ninth,Home (left)
2011743,Tenth,Home (left)
2011743,Eleventh,Home (left)
2011743,First,Away (right)
2011743,Second,Away (right)
2011743,Third,Away (right)
2011743,Fourth,Away (right)
2011743,Fifth,Away (right)
2011743,Sixth,Away (right)
2011743,Seventh,Away (right)
2011743,Eighth,Away (right)
2011743,Ninth,Away (right)
2011743,Tenth,Away (right)
2011743,Eleventh,Away (right)
2011744,First,Home (left)
2011744,Second,Home (left)
2011744,Third,Home (left)
2011744,Fourth,Home (left)
2011744,Fifth,Home (left)
2011744,Sixth,Home (left)
2011744,Seventh,Home (left)
2011744,Eighth,Home (left)
2011744,Ninth,Home (left)
2011744,Tenth,Home (left)
2011744,Eleventh,Home (left)
2011744,First,Away (right)
2011744,Second,Away (right)
2011744,Third,Away (right)
2011744,Fourth,Away (right)
2011744,Fifth,Away (right)
2011744,Sixth,Away (right)
2011744,Seventh,Away (right)
2011744,Eighth,Away (right)
2011744,Ninth,Away (right)
2011744,Tenth,Away (right)
2011744,Eleventh,Away (right)
2011745,First,Home (left)
2011745,Second,Home (left)
2011745,Third,Home (left)
2011745,Fourth,Home (left)
2011745,Fifth,Home (left)
2011745,Sixth,Home (left)
2011745,Seventh,Home (left)
2011745,Eighth,Home (left)
2011745,Ninth,Home (left)
2011745,Tenth,Home (left)
2011745,Eleventh,Home (left)
2011745,First,Away (right)
2011745,Second,Away (right)
2011745,Third,Away (right)
2011745,Fourth,Away (right)
2011745,Fifth,Away (right)
2011745,Sixth,Away (right)
2011745,Seventh,Away (right)
2011745,Eighth,Away (right)
2011745,Ninth,Away (right)
2011745,Tenth,Away (right)
2011745,Eleventh,Away (right)
2011746,First,Home (left)
2011746,Second,Home (left)
2011746,Third,Home (left)
2011746,Fourth,Home (left)
2011746,Fifth,Home (left)
2011746,Sixth,Home (left)
2011746,Seventh,Home (left)
2011746,Eighth,Home (left)
2011746,Ninth,Home (left)
2011746,Tenth,Home (left)
2011746,Eleventh,Home (left)
2011746,First,Away (right)
2011746,Second,Away (right)
2011746,Third,Away (right)
2011746,Fourth,Away (right)
2011746,Fifth,Away (right)
2011746,Sixth,Away (right)
2011746,Seventh,Away (right)
2011746,Eighth,Away (right)
2011746,Ninth,Away (right)
2011746,Tenth,Away (right)
2011746,Eleventh,Away (right)
2011747,First,Home (left)
2011747,Second,Home (left)
2011747,Third,Home (left)
2011747,Fourth,Home (left)
2011747,Fifth,Home (left)
2011747,Sixth,Home (left)
2011747,Seventh,Home (left)
2011747,Eighth,Home (left)
2011747,Ninth,Home (left)
2011747,Tenth,Home (left)
2011747,Eleventh,Home (left)
2011747,First,Away (right)
2011747,Second,Away (right)
2011747,Third,Away (right)
2011747,Fourth,Away (right)
2011747,Fifth,Away (right)
2011747,Sixth,Away (right)
2011747,Seventh,Away (right)
2011747,Eighth,Away (right)
2011747,Ninth,Away (right)
2011747,Tenth,Away (right)
2011747,Eleventh,Away (right)
2011748,First,Home (left)
2011748,Second,Home (left)
2011748,Third,Home (left)
2011748,Fourth,Home (left)
2011748,Fifth,Home (left)
2011748,Sixth,Home (left)
2011748,Seventh,Home (left)
2011748,Eighth,Home (left)
2011748,Ninth,Home (left)
2011748,Tenth,Home (left)
2011748,Eleventh,Home (left)
2011748,First,Away (right)
2011748,Second,Away (right)
2011748,Third,Away (right)
2011748,Fourth,Away (right)
2011748,Fifth,Away (right)
2011748,Sixth,Away (right)
2011748,Seventh,Away (right)
2011748,Eighth,Away (right)
2011748,Ninth,Away (right)
2011748,Tenth,Away (right)
2011748,Eleventh,Away (right)
2011749,First,Home (left)
2011749,Second,Home (left)
2011749,Third,Home (left)
2011749,Fourth,Home (left)
2011749,Fifth,Home (left)
2011749,Sixth,Home (left)
2011749,Seventh,Home (left)
2011749,Eighth,Home (left)
2011749,Ninth,Home (left)
2011749,Tenth,Home (left)
2011749,Eleventh,Home (left)
2011749,First,Away (right)
2011749,Second,Away (right)
2011749,Third,Away (right)
2011749,Fourth,Away (right)
2011749,Fifth,Away (right)
2011749,Sixth,Away (right)
2011749,Seventh,Away (right)
2011749,Eighth,Away (right)
2011749,Ninth,Away (right)
2011749,Tenth,Away (right)
2011749,Eleventh,Away (right)
2011750,First,Home (left)
2011750,Second,Home (left)
2011750,Third,Home (left)
2011750,Fourth,Home (left)
2011750,Fifth,Home (left)
2011750,Sixth,Home (left)
2011750,Seventh,Home (left)
2011750,Eighth,Home (left)
2011750,Ninth,Home (left)
2011750,Tenth,Home (left)
2011750,Eleventh,Home (left)
2011750,First,Away (right)
2011750,Second,Away (right)
2011750,Third,Away (right)
2011750,Fourth,Away (right)
2011750,Fifth,Away (right)
2011750,Sixth,Away (right)
2011750,Seventh,Away (right)
2011750,Eighth,Away (right)
2011750,Ninth,Away (right)
2011750,Tenth,Away (right)
2011750,Eleventh,Away (right)
2011751,First,Home (left)
2011751,Second,Home (left)
2011751,Third,Home (left)
2011751,Fourth,Home (left)
2011751,Fifth,Home (left)
2011751,Sixth,Home (left)
2011751,Seventh,Home (left)
2011751,Eighth,Home (left)
2011751,Ninth,Home (left)
2011751,Tenth,Home (left)
2011751,Eleventh,Home (left)
2011751,First,Away (right)
2011751,Second,Away (right)
2011751,Third,Away (right)
2011751,Fourth,Away (right)
2011751,Fifth,Away (right)
2011751,Sixth,Away (right)
2011751,Seventh,Away (right)
2011751,Eighth,Away (right)
2011751,Ninth,Away (right)
2011751,Tenth,Away (right)
2011751,Eleventh,Away (right)
2011752,First,Home (left)
2011752,Second,Home (left)
2011752,Third,Home (left)
2011752,Fourth,Home (left)
2011752,Fifth,Home (left)
2011752,Sixth,Home (left)
2011752,Seventh,Home (left)
2011752,Eighth,Home (left)
2011752,Ninth,Home (left)
2011752,Tenth,Home (left)
2011752,Eleventh,Home (left)
2011752,First,Away (right)
2011752,Second,Away (right)
2011752,Third,Away (right)
2011752,Fourth,Away (right)
2011752,Fifth,Away (right)
2011752,Sixth,Away (right)
2011752,Seventh,Away (right)
2011752,Eighth,Away (right)
2011752,Ninth,Away (right)
2011752,Tenth,Away (right)
2011752,Eleventh,Away (right)
2011753,First,Home (left)
2011753,Second,Home (left)
2011753,Third,Home (left)
2011753,Fourth,Home (left)
2011753,Fifth,Home (left)
2011753,Sixth,Home (left)
2011753,Seventh,Home (left)
2011753,Eighth,Home (left)
2011753,Ninth,Home (left)
2011753,Tenth,Home (left)
2011753,Eleventh,Home (left)
2011753,First,Away (right)
2011753,Second,Away (right)
2011753,Third,Away (right)
2011753,Fourth,Away (right)
2011753,Fifth,Away (right)
2011753,Sixth,Away (right)
2011753,Seventh,Away (right)
2011753,Eighth,Away (right)
2011753,Ninth,Away (right)
2011753,Tenth,Away (right)
2011753,Eleventh,Away (right)
2011754,First,Home (left)
2011754,Second,Home (left)
2011754,Third,Home (left)
2011754,Fourth,Home (left)
2011754,Fifth,Home (left)
2011754,Sixth,Home (left)
2011754,Seventh,Home (left)
2011754,Eighth,Home (left)
2011754,Ninth,Home (left)
2011754,Tenth,Home (left)
2011754,Eleventh,Home (left)
2011754,First,Away (right)
2011754,Second,Away (right)
2011754,Third,Away (right)
2011754,Fourth,Away (right)
2011754,Fifth,Away (right)
2011754,Sixth,Away (right)
2011754,Seventh,Away (right)
2011754,Eighth,Away (right)
2011754,Ninth,Away (right)
2011754,Tenth,Away (right)
2011754,Eleventh,Away (right)
2011755,First,Home (left)
2011755,Second,Home (left)
2011755,Third,Home (left)
2011755,Fourth,Home (left)
2011755,Fifth,Home (left)
2011755,Sixth,Home (left)
2011755,Seventh,Home (left)
2011755,Eighth,Home (left)
2011755,Ninth,Home (left)
2011755,Tenth,Home (left)
2011755,Eleventh,Home (left)
2011755,First,Away (right)
2011755,Second,Away (right)
2011755,Third,Away (right)
2011755,Fourth,Away (right)
2011755,Fifth,Away (right)
2011755,Sixth,Away (right)
2011755,Seventh,Away (right)
2011755,Eighth,Away (right)
2011755,Ninth,Away (right)
2011755,Tenth,Away (right)
2011755,Eleventh,Away (right)
2011756,First,Home (left)
2011756,Second,Home (left)
2011756,Third,Home (left)
2011756,Fourth,Home (left)
2011756,Fifth,Home (left)
2011756,Sixth,Home (left)
2011756,Seventh,Home (left)
2011756,Eighth,Home (left)
2011756,Ninth,Home (left)
2011756,Tenth,Home (left)
2011756,Eleventh,Home (left)
2011756,First,Away (right)
2011756,Second,Away (right)
2011756,Third,Away (right)
2011756,Fourth,Away (right)
2011756,Fifth,Away (right)
2011756,Sixth,Away (right)
2011756,Seventh,Away (right)
2011756,Eighth,Away (right)
2011756,Ninth,Away (right)
2011756,Tenth,Away (right)
2011756,Eleventh,Away (right)
2011757,First,Home (left)
2011757,Second,Home (left)
2011757,Third,Home (left)
2011757,Fourth,Home (left)
2011757,Fifth,Home (left)
2011757,Sixth,Home (left)
2011757,Seventh,Home (left)
2011757,Eighth,Home (left)
2011757,Ninth,Home (left)
2011757,Tenth,Home (left)
2011757,Eleventh,Home (left)
2011757,First,Away (right)
2011757,Second,Away (right)
2011757,Third,Away (right)
2011757,Fourth,Away (right)
