gid,number,side
2011855,First,Home (left)
2011855,Second,Home (left)
2011855,Third,Home (left)
2011855,Fourth,Home (left)
2011855,Fifth,Home (left)
2011855,Sixth,Home (left)
2011855,Seventh,Home (left)
2011855,Eighth,Home (left)
2011855,Ninth,Home (left)
2011855,Tenth,Home (left)
2011855,Eleventh,Home (left)
2011855,First,Away (right)
2011855,Second,Away (right)
2011855,Third,Away (right)
2011855,Fourth,Away (right)
2011855,Fifth,Away (right)
2011855,Sixth,Away (right)
2011855,Seventh,Away (right)
2011855,Eighth,Away (right)
2011855,Ninth,Away (right)
2011855,Tenth,Away (right)
2011855,Eleventh,Away (right)
2011865,First,Home (left)
2011865,Second,Home (left)
2011865,Third,Home (left)
2011865,Fourth,Home (left)
2011865,Fifth,Home (left)
2011865,Sixth,Home (left)
2011865,Seventh,Home (left)
2011865,Eighth,Home (left)
2011865,Ninth,Home (left)
2011865,Tenth,Home (left)
2011865,Eleventh,Home (left)
2011865,First,Away (right)
2011865,Second,Away (right)
2011865,Third,Away (right)
2011865,Fourth,Away (right)
2011865,Fifth,Away (right)
2011865,Sixth,Away (right)
2011865,Seventh,Away (right)
2011865,Eighth,Away (right)
2011865,Ninth,Away (right)
2011865,Tenth,Away (right)
2011865,Eleventh,Away (right)
