gid,number,side
2011856,First,Home (left)
2011856,Second,Home (left)
2011856,Third,Home (left)
2011856,Fourth,Home (left)
2011856,Fifth,Home (left)
2011856,Sixth,Home (left)
2011856,Seventh,Home (left)
2011856,Eighth,Home (left)
2011856,Ninth,Home (left)
2011856,Tenth,Home (left)
2011856,Eleventh,Home (left)
2011856,First,Away (right)
2011856,Second,Away (right)
2011856,Third,Away (right)
2011856,Fourth,Away (right)
2011856,Fifth,Away (right)
2011856,Sixth,Away (right)
2011856,Seventh,Away (right)
2011856,Eighth,Away (right)
2011856,Ninth,Away (right)
2011856,Tenth,Away (right)
2011856,Eleventh,Away (right)
2011866,First,Home (left)
2011866,Second,Home (left)
2011866,Third,Home (left)
2011866,Fourth,Home (left)
2011866,Fifth,Home (left)
2011866,Sixth,Home (left)
2011866,Seventh,Home (left)
2011866,Eighth,Home (left)
2011866,Ninth,Home (left)
2011866,Tenth,Home (left)
2011866,Eleventh,Home (left)
2011866,First,Away (right)
2011866,Second,Away (right)
2011866,Third,Away (right)
2011866,Fourth,Away (right)
2011866,Fifth,Away (right)
2011866,Sixth,Away (right)
2011866,Seventh,Away (right)
2011866,Eighth,Away (right)
2011866,Ninth,Away (right)
2011866,Tenth,Away (right)
2011866,Eleventh,Away (right)
