gid,number,side
2011767,First,Home (left)
2011767,Second,Home (left)
2011767,Third,Home (left)
2011767,Fourth,Home (left)
2011767,Fifth,Home (left)
2011767,Sixth,Home (left)
2011767,Seventh,Home (left)
2011767,Eighth,Home (left)
2011767,Ninth,Home (left)
2011767,Tenth,Home (left)
2011767,Eleventh,Home (left)
2011767,First,Away (right)
2011767,Second,Away (right)
2011767,Third,Away (right)
2011767,Fourth,Away (right)
2011767,Fifth,Away (right)
2011767,Sixth,Away (right)
2011767,Seventh,Away (right)
2011767,Eighth,Away (right)
2011767,Ninth,Away (right)
2011767,Tenth,Away (right)
2011767,Eleventh,Away (right)
2011823,First,Home (left)
2011823,Second,Home (left)
2011823,Third,Home (left)
2011823,Fourth,Home (left)
2011823,Fifth,Home (left)
2011823,Sixth,Home (left)
2011823,Seventh,Home (left)
2011823,Eighth,Home (left)
2011823,Ninth,Home (left)
2011823,Tenth,Home (left)
2011823,Eleventh,Home (left)
2011823,First,Away (right)
2011823,Second,Away (right)
2011823,Third,Away (right)
2011823,Fourth,Away (right)
2011823,Fifth,Away (right)
2011823,Sixth,Away (right)
2011823,Seventh,Away (right)
2011823,Eighth,Away (right)
2011823,Ninth,Away (right)
2011823,Tenth,Away (right)
2011823,Eleventh,Away (right)
2011781,First,Home (left)
2011781,Second,Home (left)
2011781,Third,Home (left)
2011781,Fourth,Home (left)
2011781,Fifth,Home (left)
2011781,Sixth,Home (left)
2011781,Seventh,Home (left)
2011781,Eighth,Home (left)
2011781,Ninth,Home (left)
2011781,Tenth,Home (left)
2011781,Eleventh,Home (left)
2011781,First,Away (right)
2011781,Second,Away (right)
2011781,Third,Away (right)
2011781,Fourth,Away (right)
2011781,Fifth,Away (right)
2011781,Sixth,Away (right)
2011781,Seventh,Away (right)
2011781,Eighth,Away (right)
2011781,Ninth,Away (right)
2011781,Tenth,Away (right)
2011781,Eleventh,Away (right)
2011853,First,Home (left)
2011853,Second,Home (left)
2011853,Third,Home (left)
2011853,Fourth,Home (left)
2011853,Fifth,Home (left)
2011853,Sixth,Home (left)
2011853,Seventh,Home (left)
2011853,Eighth,Home (left)
2011853,Ninth,Home (left)
2011853,Tenth,Home (left)
2011853,Eleventh,Home (left)
2011853,First,Away (right)
2011853,Second,Away (right)
2011853,Third,Away (right)
2011853,Fourth,Away (right)
2011853,Fifth,Away (right)
2011853,Sixth,Away (right)
2011853,Seventh,Away (right)
2011853,Eighth,Away (right)
2011853,Ninth,Away (right)
2011853,Tenth,Away (right)
2011853,Eleventh,Away (right)
